,# feature,class,assembly,assembly_unit,seq_type,chromosome,genomic_accession,start,end,strand,product_accession,non-redundant_refseq,related_accession,name,symbol,GeneID,locus_tag,feature_interval_length,product_length,attributes
1085,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,554774,555838,+,,,,,,,SY84_02770,1065,,
1087,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,556098,557291,+,,,,,,,SY84_02775,1194,,
1089,gene,pseudogene,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,558343,559125,+,,,,hypothetical protein,,,SY84_02780,783,,pseudo
1090,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,559250,560362,-,,,,,,,SY84_02785,1113,,
1092,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,560359,561321,-,,,,,,,SY84_02790,963,,
1094,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,561318,562745,-,,,,,,,SY84_02795,1428,,
1096,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,562858,564528,-,,,,,,,SY84_02800,1671,,
1098,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,564773,566017,-,,,,,,,SY84_02805,1245,,
1100,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,566312,568780,-,,,,,,,SY84_02810,2469,,
1102,gene,pseudogene,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,569323,570108,+,,,,hypothetical protein,,,SY84_02815,786,,pseudo
1103,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,570322,572151,-,,,,,,,SY84_02820,1830,,
1105,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,572212,573126,-,,,,,,,SY84_02825,915,,
1107,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,573232,575274,+,,,,,,,SY84_02830,2043,,
1109,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,575277,575561,-,,,,,,,SY84_02835,285,,
1111,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,575663,576253,+,,,,,,,SY84_02840,591,,
1113,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,576387,576905,+,,,,,,,SY84_02845,519,,
1115,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,576962,577639,+,,,,,,,SY84_02850,678,,
1117,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,577673,578452,-,,,,,,,SY84_02855,780,,
1119,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,578607,579221,-,,,,,,,SY84_02860,615,,
1121,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,579411,580742,-,,,,,,,SY84_02865,1332,,
1123,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,580980,581531,+,,,,,,,SY84_02870,552,,
1125,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,581519,582814,+,,,,,,,SY84_02875,1296,,
1127,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,582849,583763,+,,,,,,,SY84_02880,915,,
1129,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,583756,584229,+,,,,,,,SY84_02885,474,,
1131,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,584243,585523,+,,,,,,,SY84_02890,1281,,
1133,gene,pseudogene,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,585737,586138,-,,,,hypothetical protein,,,SY84_02895,402,,pseudo
1134,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,587384,588349,-,,,,,,,SY84_02900,966,,
1136,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,588519,589514,+,,,,,,,SY84_02905,996,,
1138,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,589566,590357,-,,,,,,,SY84_02910,792,,
1140,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,590376,591473,-,,,,,,,SY84_02915,1098,,
1142,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,591548,591988,-,,,,,,,SY84_02920,441,,
1144,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,591990,592283,-,,,,,,,SY84_02925,294,,
1146,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,592359,592721,-,,,,,,,SY84_02930,363,,
1148,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,593185,593802,+,,,,,,,SY84_02935,618,,
1150,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,593885,594307,-,,,,,,,SY84_02940,423,,
1152,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,594874,595080,-,,,,,,,SY84_02945,207,,
1154,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,595136,595831,-,,,,,,,SY84_02950,696,,
1156,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,595955,596665,+,,,,,,,SY84_02955,711,,
1158,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,596729,597379,-,,,,,,,SY84_02960,651,,
1160,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,597554,598588,-,,,,,,,SY84_02965,1035,,
1162,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,598710,599210,+,,,,,,,SY84_02970,501,,
1164,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,599240,600427,+,,,,,,,SY84_02975,1188,,
1166,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,600424,600852,+,,,,,,,SY84_02980,429,,
1168,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,600896,601357,+,,,,,,,SY84_02985,462,,
1170,gene,pseudogene,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,601595,602323,-,,,,hypothetical protein,,,SY84_02990,729,,pseudo
1171,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,602473,603852,+,,,,,,,SY84_02995,1380,,
1173,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,603973,604482,+,,,,,,,SY84_03000,510,,
1175,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,604637,605227,+,,,,,,,SY84_03005,591,,
1177,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,605332,605898,+,,,,,,,SY84_03010,567,,
1179,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,605955,606905,-,,,,,,,SY84_03015,951,,
1181,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,607084,608271,-,,,,,,,SY84_03020,1188,,
1183,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,608433,608627,+,,,,,,,SY84_03025,195,,
1185,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,608695,610803,-,,,,,,,SY84_03030,2109,,
1187,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,610800,611210,-,,,,,,,SY84_03035,411,,
1189,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,611609,612766,-,,,,,,,SY84_03040,1158,,
1191,gene,pseudogene,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,613308,613811,+,,,,hypothetical protein,,,SY84_03045,504,,pseudo
1192,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,613959,615299,+,,,,,,,SY84_03050,1341,,
1194,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,615507,617135,-,,,,,,,SY84_03055,1629,,
1196,gene,pseudogene,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,617179,617397,-,,,,hypothetical protein,,,SY84_03060,219,,pseudo
1197,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,617676,618740,-,,,,,,,SY84_03065,1065,,
1199,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,618759,619274,-,,,,,,,SY84_03070,516,,
1201,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,619334,619846,-,,,,,,,SY84_03075,513,,
1203,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,619856,620362,-,,,,,,,SY84_03080,507,,
1205,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,620375,623092,-,,,,,,,SY84_03085,2718,,
1207,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,623089,624096,-,,,,,,,SY84_03090,1008,,
1209,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,624656,625975,+,,,,,,,SY84_03095,1320,,
1211,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,626034,626837,-,,,,,,,SY84_03100,804,,
1213,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,626965,627792,-,,,,,,,SY84_03105,828,,
1215,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,627882,628676,-,,,,,,,SY84_03110,795,,
1217,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,628673,630754,-,,,,,,,SY84_03115,2082,,
1219,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,630893,631831,-,,,,,,,SY84_03120,939,,
1221,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,632006,632443,+,,,,,,,SY84_03125,438,,
1223,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,632553,633146,+,,,,,,,SY84_03130,594,,
1225,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,633364,633918,-,,,,,,,SY84_03135,555,,
1227,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,634285,635700,+,,,,,,,SY84_03140,1416,,
1229,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,635762,636034,-,,,,,,,SY84_03145,273,,
1231,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,636278,646048,+,,,,,,,SY84_03150,9771,,
1233,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,646149,646601,-,,,,,,,SY84_03155,453,,
1235,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,646623,648749,-,,,,,,,SY84_03160,2127,,
1237,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,649041,649973,+,,,,,,,SY84_03165,933,,
1239,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,650118,650699,+,,,,,,,SY84_03170,582,,
1241,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,650712,651746,-,,,,,,,SY84_03175,1035,,
1243,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,651908,652273,-,,,,,,,SY84_03180,366,,
1245,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,652331,653737,-,,,,,,,SY84_03185,1407,,
1247,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,653773,654078,-,,,,,,,SY84_03190,306,,
1249,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,654392,655450,-,,,,,,,SY84_03195,1059,,
1251,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,655443,656009,-,,,,,,,SY84_03200,567,,
1253,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,656002,656388,-,,,,,,,SY84_03205,387,,
1255,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,656390,657631,-,,,,,,,SY84_03210,1242,,
1257,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,657644,658258,-,,,,,,,SY84_03215,615,,
1259,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,658301,659587,-,,,,,,,SY84_03220,1287,,
1261,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,659882,662641,+,,,,,,,SY84_03225,2760,,
1263,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,662760,663035,+,,,,,,,SY84_03230,276,,
1265,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,663101,663469,-,,,,,,,SY84_03235,369,,
1267,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,663695,664879,-,,,,,,,SY84_03240,1185,,
1269,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,665000,665410,-,,,,,,,SY84_03245,411,,
1271,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,665525,665962,-,,,,,,,SY84_03250,438,,
1273,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,666215,667285,+,,,,,,,SY84_03255,1071,,
1275,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,667420,669093,+,,,,,,,SY84_03260,1674,,
1277,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,669110,670054,+,,,,,,,SY84_03265,945,,
1279,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,670137,671255,+,,,,,,,SY84_03270,1119,,
1281,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,671352,672182,+,,,,,,,SY84_03275,831,,
1283,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,672241,672861,-,,,,,,,SY84_03280,621,,
1285,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,672879,673670,-,,,,,,,SY84_03285,792,,
1287,gene,tRNA,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,673778,673854,-,,,,,,,SY84_03290,77,,
1289,gene,tRNA,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,673889,673964,-,,,,,,,SY84_03295,76,,
1291,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,674047,674718,-,,,,,,,SY84_03300,672,,
1293,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,674774,675313,-,,,,,,,SY84_03305,540,,
1295,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,675355,676275,-,,,,,,,SY84_03310,921,,
1297,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,676313,676786,-,,,,,,,SY84_03315,474,,
1299,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,676819,677721,-,,,,,,,SY84_03320,903,,
1301,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,677718,677894,-,,,,,,,SY84_03325,177,,
1303,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,678373,680316,+,,,,,,,SY84_03330,1944,,
1305,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,680376,681464,-,,,,,,,SY84_03335,1089,,
1307,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,681681,682121,-,,,,,,,SY84_03340,441,,
1309,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,682270,682575,-,,,,,,,SY84_03345,306,,
1311,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,682692,684509,+,,,,,,,SY84_03350,1818,,
1313,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,684509,685462,+,,,,,,,SY84_03355,954,,
1315,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,685490,686314,+,,,,,,,SY84_03360,825,,
1317,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,686375,686980,-,,,,,,,SY84_03365,606,,
1319,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,687100,688020,+,,,,,,,SY84_03370,921,,
1321,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,688085,688471,-,,,,,,,SY84_03375,387,,
1323,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,688610,688840,-,,,,,,,SY84_03380,231,,
1325,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,688935,689942,-,,,,,,,SY84_03385,1008,,
1327,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,690042,690893,-,,,,,,,SY84_03390,852,,
1329,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,690985,691221,-,,,,,,,SY84_03395,237,,
1331,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,691218,691646,-,,,,,,,SY84_03400,429,,
1333,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,691784,692224,+,,,,,,,SY84_03405,441,,
1335,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,692280,692921,+,,,,,,,SY84_03410,642,,
1337,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,692967,693425,+,,,,,,,SY84_03415,459,,
1339,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,693468,694280,+,,,,,,,SY84_03420,813,,
1341,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,694344,695267,+,,,,,mraY,,SY84_03425,924,,
1343,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,695372,696313,+,,,,,,,SY84_03430,942,,
1345,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,696402,697046,+,,,,,,,SY84_03435,645,,
1347,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,697229,698080,+,,,,,,,SY84_03440,852,,
1349,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,698050,698481,+,,,,,,,SY84_03445,432,,
1351,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,698558,700294,+,,,,,,,SY84_03450,1737,,
1353,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,700387,700839,-,,,,,,,SY84_03455,453,,
1355,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,701070,701765,+,,,,,,,SY84_03460,696,,
1357,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,701945,702943,-,,,,,,,SY84_03465,999,,
1359,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,703152,705416,-,,,,,,,SY84_03470,2265,,
1361,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,706088,707026,+,,,,,rihB,,SY84_03475,939,,
1363,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,707036,707824,-,,,,,,,SY84_03480,789,,
1365,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,707821,708723,-,,,,,,,SY84_03485,903,,
1367,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,708863,709234,-,,,,,,,SY84_03490,372,,
1369,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,709371,710579,-,,,,,,,SY84_03495,1209,,
1371,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,710675,712345,-,,,,,,,SY84_03500,1671,,
1373,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,712444,713802,+,,,,,,,SY84_03505,1359,,
1375,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,714000,714629,-,,,,,,,SY84_03510,630,,
1377,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,714769,715701,-,,,,,,,SY84_03515,933,,
1379,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,715698,717158,-,,,,,,,SY84_03520,1461,,
1381,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,717155,718519,-,,,,,,,SY84_03525,1365,,
1383,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,718785,719639,+,,,,,,,SY84_03530,855,,
1385,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,719697,720395,-,,,,,,,SY84_03535,699,,
1387,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,720424,721155,-,,,,,,,SY84_03540,732,,
1389,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,721148,722230,-,,,,,,,SY84_03545,1083,,
1391,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,722334,723494,+,,,,,,,SY84_03550,1161,,
1393,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,723581,724441,+,,,,,,,SY84_03555,861,,
1395,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,724513,725427,+,,,,,,,SY84_03560,915,,
1397,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,725478,726206,+,,,,,,,SY84_03565,729,,
1399,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,726328,727086,+,,,,,livF,,SY84_03570,759,,
1401,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,727248,730202,+,,,,,,,SY84_03575,2955,,
1403,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,730274,731059,+,,,,,,,SY84_03580,786,,
1405,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,731157,731648,-,,,,,,,SY84_03585,492,,
1407,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,731805,733856,-,,,,,,,SY84_03590,2052,,
1409,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,733942,734898,+,,,,,,,SY84_03595,957,,
1411,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,734967,736088,-,,,,,,,SY84_03600,1122,,
1413,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,736094,736648,-,,,,,,,SY84_03605,555,,
1415,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,736844,738118,+,,,,,,,SY84_03610,1275,,
1417,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,738216,738725,+,,,,,,,SY84_03615,510,,
1419,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,738739,739803,-,,,,,,,SY84_03620,1065,,
1421,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,739928,740539,-,,,,,,,SY84_03625,612,,
1423,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,740646,740864,-,,,,,,,SY84_03630,219,,
1425,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,740951,741979,-,,,,,,,SY84_03635,1029,,
1427,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,742063,742584,+,,,,,,,SY84_03640,522,,
1429,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,742845,743423,+,,,,,,,SY84_03645,579,,
1431,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,743420,743947,-,,,,,,,SY84_03650,528,,
1433,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,744542,744973,+,,,,,,,SY84_03655,432,,
1435,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,744970,747777,+,,,,,,,SY84_03660,2808,,
1437,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,747878,748129,+,,,,,,,SY84_03665,252,,
1439,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,748217,748486,+,,,,,,,SY84_03670,270,,
1441,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,748447,748935,+,,,,,,,SY84_03675,489,,
1443,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,749059,749445,+,,,,,,,SY84_03680,387,,
1445,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,749492,751843,+,,,,,,,SY84_03685,2352,,
1447,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,751955,752347,+,,,,,,,SY84_03690,393,,
1449,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,752557,753234,+,,,,,,,SY84_03695,678,,
1451,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,753219,753884,+,,,,,,,SY84_03700,666,,
1453,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,753893,754597,+,,,,,,,SY84_03705,705,,
1455,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,754608,755309,-,,,,,,,SY84_03710,702,,
1457,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,755330,756031,-,,,,,,,SY84_03715,702,,
1459,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,756173,756883,+,,,,,,,SY84_03720,711,,
1461,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,757037,757486,+,,,,,,,SY84_03725,450,,
1463,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,757530,759503,+,,,,,,,SY84_03730,1974,,
1465,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,759544,760143,+,,,,,,,SY84_03735,600,,
1467,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,760140,760628,+,,,,,,,SY84_03740,489,,
1469,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,760625,761677,+,,,,,,,SY84_03745,1053,,
1471,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,761674,762270,+,,,,,,,SY84_03750,597,,
1473,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,762279,762773,+,,,,,,,SY84_03755,495,,
1475,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,762990,763901,+,,,,,,,SY84_03760,912,,
1477,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,763964,765304,-,,,,,,,SY84_03765,1341,,
1479,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,765725,766075,-,,,,,,,SY84_03770,351,,
1481,gene,protein_coding,GCA_001007995.1,Primary Assembly,chromosome,,CP011389.1,766156,767718,-,,,,,,,SY84_03775,1563,,
